9. TRIFD,10. FACILITY NAME,12. FACILITY CITY,13. FACILITY COUNTY,14. FACILITY STATE,15. FACILITY ZIP CODE,LATITUDE,LONGITUDE,81. CHEMICAL NAME,84. CLASSIFICATION,85. UNIT OF MEASURE,86. HAZARDOUS AIR POLLUTANT - HAPS,87. CARCINOGEN,88. PFAS_IND,89. METAL IND,118. TOTAL AIR EMISSIONS
02703GNRLM42FRA,GENERAL METAL FINISHING LLC,ATTLEBORO,BRISTOL,MA,2703,41.91878,-71.3227,Nitrate compounds (water dissociable; reportable only when in aqueous solution),TRI,Pounds,NO,NO,NO,NO,0
02703GNRLM42FRA,GENERAL METAL FINISHING LLC,ATTLEBORO,BRISTOL,MA,2703,41.91878,-71.3227,Nitric acid,TRI,Pounds,NO,NO,NO,NO,0
01550RSSLH44RIV,DEXTER-RUSSELL INC,SOUTHBRIDGE,WORCESTER,MA,1550,42.08235,-72.03833,Chromium,TRI,Pounds,YES,NO,NO,YES,0
01027THCTB24ONE,ADHESIVE APPLICATIONS INC. - O'NEILL ST EASTHAMPTON,EASTHAMPTON,HAMPSHIRE,MA,1027,42.28558,-72.65686,Xylene (mixed isomers),TRI,Pounds,YES,NO,NO,NO,773
01027THCTB24ONE,ADHESIVE APPLICATIONS INC. - O'NEILL ST EASTHAMPTON,EASTHAMPTON,HAMPSHIRE,MA,1027,42.28558,-72.65686,Toluene,TRI,Pounds,YES,NO,NO,NO,1645
01027THCTB24ONE,ADHESIVE APPLICATIONS INC. - O'NEILL ST EASTHAMPTON,EASTHAMPTON,HAMPSHIRE,MA,1027,42.28558,-72.65686,n-Hexane,TRI,Pounds,YES,NO,NO,NO,147
01027THCTB24ONE,ADHESIVE APPLICATIONS INC. - O'NEILL ST EASTHAMPTON,EASTHAMPTON,HAMPSHIRE,MA,1027,42.28558,-72.65686,Ethylbenzene,TRI,Pounds,YES,YES,NO,NO,190
01082KNZKS20COM,KANZAKI SPECIALTY PAPERS INC.,WARE,HAMPSHIRE,MA,1082,42.251818,-72.24362,Propylene,TRI,Pounds,NO,NO,NO,NO,0
01082KNZKS20COM,KANZAKI SPECIALTY PAPERS INC.,WARE,HAMPSHIRE,MA,1082,42.251818,-72.24362,Zinc compounds,TRI,Pounds,NO,NO,NO,YES,0
01536WYMNG244WO,WYMAN-GORDON CO,NORTH GRAFTON,WORCESTER,MA,1536,42.229565,-71.727977,Nickel,TRI,Pounds,YES,YES,NO,YES,17
01536WYMNG244WO,WYMAN-GORDON CO,NORTH GRAFTON,WORCESTER,MA,1536,42.229565,-71.727977,Cobalt,TRI,Pounds,YES,YES,NO,YES,0
01536WYMNG244WO,WYMAN-GORDON CO,NORTH GRAFTON,WORCESTER,MA,1536,42.229565,-71.727977,Chromium,TRI,Pounds,YES,NO,NO,YES,6
01104STRCH126ME,ASTRO CHEMICALS INC,SPRINGFIELD,HAMPDEN,MA,1104,42.13875,-72.5425,Nonylphenol Ethoxylates,TRI,Pounds,NO,NO,NO,NO,52.2
01104STRCH126ME,ASTRO CHEMICALS INC,SPRINGFIELD,HAMPDEN,MA,1104,42.13875,-72.5425,"N,N-Dimethylformamide",TRI,Pounds,YES,YES,NO,NO,15.5
01104STRCH126ME,ASTRO CHEMICALS INC,SPRINGFIELD,HAMPDEN,MA,1104,42.13875,-72.5425,N-Methyl-2-pyrrolidone,TRI,Pounds,NO,NO,NO,NO,1
