GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,Shape_Leng,Shape_Area
"Block Group 1, Census Tract 5.06, Suffolk County, Massachusetts",250250005061,N,Boston,1478.000000000000000,1016.000000000000000,31.258457369999999,768.000000000000000,181,23.567708970000002,55577.000000000000000,65.861228940000004,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2037.201722620000055,100840.411024999993970
"Block Group 2, Census Tract 5.06, Suffolk County, Massachusetts",250250005062,N,Boston,1417.000000000000000,984.000000000000000,30.557515880000000,686.000000000000000,43,6.268221380000000,99038.000000000000000,117.364463810000004,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1539.920407659999910,88054.121712899999693
"Block Group 1, Census Tract 6.01, Suffolk County, Massachusetts",250250006011,N,Boston,685.000000000000000,401.000000000000000,41.459854010000001,252.000000000000000,41,16.269842149999999,133750.000000000000000,158.499740599999996,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1835.677472549999948,144811.027707000001101
"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",250250006012,N,Boston,1211.000000000000000,798.000000000000000,34.104046240000002,487.000000000000000,19,3.901437280000000,89276.000000000000000,105.796051030000001,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1947.547512520000055,177200.399867000000086
"Block Group 1, Census Tract 3.02, Suffolk County, Massachusetts",250250003021,N,Boston,1471.000000000000000,1000.000000000000000,32.019034670000003,543.000000000000000,0,0.000000000000000,105230.000000000000000,124.702255249999993,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2849.742735819999780,269274.900678000005428
"Block Group 2, Census Tract 3.02, Suffolk County, Massachusetts",250250003022,N,Boston,1601.000000000000000,1022.000000000000000,36.164896939999998,805.000000000000000,81,10.062111850000001,99181.000000000000000,117.533920289999998,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,3205.170298399999865,366763.242216999991797
"Block Group 1, Census Tract 4.01, Suffolk County, Massachusetts",250250004011,N,Boston,1521.000000000000000,1023.000000000000000,32.741617359999999,714.000000000000000,0,0.000000000000000,74679.000000000000000,88.497955320000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,986.570202623999990,54137.569379400003527
"Block Group 2, Census Tract 4.01, Suffolk County, Massachusetts",250250004012,N,Boston,1204.000000000000000,772.000000000000000,35.880398669999998,475.000000000000000,42,8.842104910000000,82232.000000000000000,97.448600769999999,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1612.442404059999944,107454.099830999999540
"Block Group 3, Census Tract 4.01, Suffolk County, Massachusetts",250250004013,N,Boston,1056.000000000000000,715.000000000000000,32.291666669999998,466.000000000000000,28,6.008583550000000,90536.000000000000000,107.289207460000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1679.186983190000092,116840.073684999995749
"Block Group 4, Census Tract 4.01, Suffolk County, Massachusetts",250250004014,N,Boston,2072.000000000000000,1207.000000000000000,41.747104250000000,1203.000000000000000,776,64.505401610000007,11799.000000000000000,13.982342720000000,0,76298.000000000000000,90.416542050000004,I,E,M,Yes,MIE,3,"Minority, income and English isolation",1745.827445939999961,152582.871924000006402
"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",250250004021,N,Boston,1469.000000000000000,1008.000000000000000,31.381892440000001,550.000000000000000,6,1.090909120000000,74565.000000000000000,88.362861629999998,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1661.256555059999982,162109.957905999996001
"Block Group 2, Census Tract 4.02, Suffolk County, Massachusetts",250250004022,N,Boston,967.000000000000000,634.000000000000000,34.436401240000002,337.000000000000000,0,0.000000000000000,113015.000000000000000,133.927825930000012,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2515.359022539999842,382989.512408000009600
"Block Group 3, Census Tract 6.01, Suffolk County, Massachusetts",250250006013,N,Boston,846.000000000000000,559.000000000000000,33.924349880000001,229.000000000000000,23,10.043667790000001,112031.000000000000000,132.761749269999996,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1708.001068690000011,84827.077032100001816
"Block Group 4, Census Tract 6.01, Suffolk County, Massachusetts",250250006014,N,Boston,1016.000000000000000,575.000000000000000,43.405511810000000,398.000000000000000,23,5.778894420000000,106607.000000000000000,126.334060670000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1348.556751300000087,88397.175139400002081
"Block Group 1, Census Tract 7.01, Suffolk County, Massachusetts",250250007011,N,Boston,616.000000000000000,406.000000000000000,34.090909089999997,293.000000000000000,28,9.556314470000000,89044.000000000000000,105.521125789999999,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1119.648882619999995,27860.369485600000189
"Block Group 2, Census Tract 7.01, Suffolk County, Massachusetts",250250007012,N,Boston,869.000000000000000,541.000000000000000,37.744533949999997,367.000000000000000,70,19.073570250000000,66518.000000000000000,78.826805109999995,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1031.472016879999956,55250.196907700003067
"Block Group 3, Census Tract 7.01, Suffolk County, Massachusetts",250250007013,N,Boston,1521.000000000000000,914.000000000000000,39.907955289999997,829.000000000000000,19,2.291918040000000,88625.000000000000000,105.024589539999994,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1191.319004339999992,81865.291748599993298
"Block Group 2, Census Tract 7.03, Suffolk County, Massachusetts",250250007032,N,Boston,1397.000000000000000,774.000000000000000,44.595561920000002,472.000000000000000,34,7.203389640000000,52738.000000000000000,62.496891020000000,0,76298.000000000000000,90.416542050000004,I, ,M,Yes,MI,2,Minority and income,1463.919950859999972,105036.203989000001457
"Block Group 3, Census Tract 4.02, Suffolk County, Massachusetts",250250004023,N,Boston,1208.000000000000000,884.000000000000000,26.821192050000001,546.000000000000000,3,0.549450580000000,139071.000000000000000,164.805358890000008,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2342.241489869999896,261616.851495999988401
"Block Group 1, Census Tract 5.02, Suffolk County, Massachusetts",250250005021,N,Boston,1043.000000000000000,737.000000000000000,29.338446789999999,532.000000000000000,23,4.323308470000000,87941.000000000000000,104.214019780000001,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2868.054697510000096,159459.399667999998201
"Block Group 2, Census Tract 5.02, Suffolk County, Massachusetts",250250005022,N,Boston,1710.000000000000000,1276.000000000000000,25.380116959999999,350.000000000000000,3,0.857142870000000,73889.000000000000000,87.561767579999994,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,3825.008934240000144,685007.882203000015579
"Block Group 2, Census Tract 1.01, Suffolk County, Massachusetts",250250001012,N,Boston,824.000000000000000,568.000000000000000,31.067961170000000,262.000000000000000,0,0.000000000000000,128750.000000000000000,152.574508670000000,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,1691.667293570000083,109615.698910000006435
"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",250250002011,N,Boston,966.000000000000000,650.000000000000000,32.712215319999999,414.000000000000000,77,18.599033360000000,86719.000000000000000,102.765892030000003,0,76298.000000000000000,90.416542050000004, , ,M,Yes,M,1,Minority,2038.257738239999981,240978.002529999997932
