GEOGRAPHIC,GEOID,SPLIT_FOR_,MUNICIPALI,TOTAL_POP,NONHISPWHI,PCT_MINORI,TOTALHH,LIMENGHH,LIMENGHHPC,BG_MHHI,BG_MHHI_PC,BG_MHHI_IS,MUNI_MHHI,MUNIMHHI_P,MEDIANHHI,LIMITEDENG,MINORITY_P,EJ,EJ_CRITERI,EJ_CRITE_1,EJ_CRIT_DE,SHAPE_AREA,SHAPE_LEN
"Block Group 3, Census Tract 112, Barnstable County, Massachusetts",250010112003,N,Harwich,565.000000000000000,510.000000000000000,9.734513270000001,278.000000000000000,0,0.000000000000000,54375.000000000000000,64.436805730000003,0,78932.000000000000000,93.537948610000001,I, , ,Yes,I,1,Income,1830406.748790000099689,5559.846530009999697
"Block Group 1, Census Tract 116, Barnstable County, Massachusetts",250010116001,N,Dennis,1630.000000000000000,1170.000000000000000,28.220858900000000,889.000000000000000,26,2.924634460000000,46015.000000000000000,54.529834749999999,0,67803.000000000000000,80.349586489999993,I, ,M,Yes,MI,2,Minority and income,2666316.329659999813884,7998.207934199999727
"Block Group 2, Census Tract 116, Barnstable County, Massachusetts",250010116002,N,Dennis,689.000000000000000,563.000000000000000,18.287372999999999,292.000000000000000,0,0.000000000000000,52826.000000000000000,62.601173400000000,0,67803.000000000000000,80.349586489999993,I, , ,Yes,I,1,Income,1640939.525739999953657,6745.671186219999981
"Block Group 1, Census Tract 120.02, Barnstable County, Massachusetts",250010120021,N,Yarmouth,1224.000000000000000,896.000000000000000,26.797385620000000,495.000000000000000,38,7.676767830000000,55880.000000000000000,66.220298769999999,0,68385.000000000000000,81.039283749999996, , ,M,Yes,M,1,Minority,1814094.462580000050366,9549.840082400000028
"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",250010121012,N,Yarmouth,1116.000000000000000,771.000000000000000,30.913978490000002,395.000000000000000,0,0.000000000000000,98664.000000000000000,116.921257019999999,0,68385.000000000000000,81.039283749999996, , ,M,Yes,M,1,Minority,4084284.419060000218451,9840.591216740000164
"Block Group 3, Census Tract 121.02, Barnstable County, Massachusetts",250010121023,N,Yarmouth,605.000000000000000,488.000000000000000,19.338842979999999,352.000000000000000,0,0.000000000000000,47963.000000000000000,56.838298799999997,0,68385.000000000000000,81.039283749999996,I, , ,Yes,I,1,Income,2622669.078369999770075,6469.940428820000307
"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",250010121024,N,Yarmouth,1155.000000000000000,766.000000000000000,33.679653680000001,449.000000000000000,0,0.000000000000000,62438.000000000000000,73.991821290000004,0,68385.000000000000000,81.039283749999996, , ,M,Yes,M,1,Minority,1505050.513120000017807,7277.445205529999839
"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",250010125022,N,Barnstable,947.000000000000000,571.000000000000000,39.704329459999997,441.000000000000000,7,1.587301610000000,35023.000000000000000,41.503822329999998,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,966678.610126000014134,4497.215658889999759
"Block Group 5, Census Tract 101, Barnstable County, Massachusetts",250010101005,N,Provincetown,664.000000000000000,545.000000000000000,17.921686749999999,344.000000000000000,42,12.209301950000000,54688.000000000000000,64.807723999999993,0,71495.000000000000000,84.724769589999994,I, , ,Yes,I,1,Income,477038.336245000013150,3894.186943109999902
"Block Group 1, Census Tract 102.08, Barnstable County, Massachusetts",250010102081,N,Truro,892.000000000000000,821.000000000000000,7.959641260000000,297.000000000000000,0,0.000000000000000,47554.000000000000000,56.353618619999999,0,68914.000000000000000,81.666175839999994,I, , ,Yes,I,1,Income,13964360.435900000855327,19884.745048699998733
"Block Group 2, Census Tract 103.04, Barnstable County, Massachusetts",250010103042,N,Eastham,889.000000000000000,757.000000000000000,14.848143980000000,349.000000000000000,0,0.000000000000000,46806.000000000000000,55.467205049999997,0,67127.000000000000000,79.548500059999995,I, , ,Yes,I,1,Income,4825360.406729999929667,11505.458539600000222
"Block Group 2, Census Tract 104, Barnstable County, Massachusetts",250010104002,N,Orleans,872.000000000000000,768.000000000000000,11.926605500000001,428.000000000000000,0,0.000000000000000,40833.000000000000000,48.388931270000000,0,77273.000000000000000,91.571960450000006,I, , ,Yes,I,1,Income,1704605.060730000026524,5508.892512010000246
"Block Group 4, Census Tract 107, Barnstable County, Massachusetts",250010107004,N,Chatham,596.000000000000000,548.000000000000000,8.053691280000001,265.000000000000000,0,0.000000000000000,43558.000000000000000,51.618179320000003,0,78491.000000000000000,93.015342709999999,I, , ,Yes,I,1,Income,2568640.036220000125468,9175.715703890000441
"Block Group 2, Census Tract 108, Barnstable County, Massachusetts",250010108002,N,Brewster,503.000000000000000,468.000000000000000,6.958250500000000,68.000000000000000,0,0.000000000000000,47083.000000000000000,55.795459749999999,0,81625.000000000000000,96.729278559999997,I, , ,Yes,I,1,Income,3437979.872820000164211,11333.779203300000518
"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",250010125024,N,Barnstable,915.000000000000000,480.000000000000000,47.540983609999998,211.000000000000000,22,10.426540370000000,70170.000000000000000,83.154586789999996,0,77227.000000000000000,91.517448430000002, , ,M,Yes,M,1,Minority,927383.738269999972545,4013.800682409999808
"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",250010126011,N,Barnstable,2164.000000000000000,1433.000000000000000,33.780036969999998,981.000000000000000,152,15.494393349999999,60919.000000000000000,72.191741940000000,0,77227.000000000000000,91.517448430000002, , ,M,Yes,M,1,Minority,1963203.852050000103191,5977.396209440000348
"Block Group 2, Census Tract 126.01, Barnstable County, Massachusetts",250010126012,N,Barnstable,1134.000000000000000,733.000000000000000,35.361552029999999,315.000000000000000,8,2.539682630000000,82344.000000000000000,97.581321720000005,0,77227.000000000000000,91.517448430000002, , ,M,Yes,M,1,Minority,1514037.194929999997839,7898.084129490000123
"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",250010126021,N,Barnstable,1480.000000000000000,791.000000000000000,46.554054049999998,547.000000000000000,0,0.000000000000000,38125.000000000000000,45.179828639999997,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,775417.200075999950059,3925.293533099999877
"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",250010126022,N,Barnstable,1765.000000000000000,732.000000000000000,58.526912179999997,398.000000000000000,140,35.175880429999999,51214.000000000000000,60.690879819999999,0,77227.000000000000000,91.517448430000002,I,E,M,Yes,MIE,3,"Minority, income and English isolation",844633.600152999977581,4005.228143509999882
"Block Group 2, Census Tract 147, Barnstable County, Massachusetts",250010147002,N,Falmouth,1237.000000000000000,1064.000000000000000,13.985448670000000,575.000000000000000,0,0.000000000000000,55057.000000000000000,65.245010379999997,0,75548.000000000000000,89.527763370000002,I, , ,Yes,I,1,Income,3238659.661359999794513,9403.295685560000493
"Block Group 1, Census Tract 148, Barnstable County, Massachusetts",250010148001,N,Falmouth,861.000000000000000,745.000000000000000,13.472706160000000,532.000000000000000,0,0.000000000000000,29583.000000000000000,35.057178499999999,0,75548.000000000000000,89.527763370000002,I, , ,Yes,I,1,Income,1067350.733520000008866,4802.837146329999996
"Block Group 3, Census Tract 148, Barnstable County, Massachusetts",250010148003,N,Falmouth,1128.000000000000000,983.000000000000000,12.854609930000001,772.000000000000000,8,1.036269430000000,27396.000000000000000,32.465484619999998,0,75548.000000000000000,89.527763370000002,I, , ,Yes,I,1,Income,1531215.065519999945536,5549.650981230000070
"Block Group 2, Census Tract 150.02, Barnstable County, Massachusetts",250010150022,N,Mashpee,1312.000000000000000,976.000000000000000,25.609756099999998,422.000000000000000,0,0.000000000000000,70129.000000000000000,83.106002810000007,0,78309.000000000000000,92.799667360000001, , ,M,Yes,M,1,Minority,7802003.345239999704063,14522.181807299999491
"Block Group 1, Census Tract 153, Barnstable County, Massachusetts",250010153001,N,Barnstable,1113.000000000000000,517.000000000000000,53.548966759999999,314.000000000000000,47,14.968152999999999,54000.000000000000000,63.992416380000002,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,11574500.795900000259280,16470.617869000001519
"Block Group 2, Census Tract 153, Barnstable County, Massachusetts",250010153002,N,Barnstable,1350.000000000000000,781.000000000000000,42.148148149999997,815.000000000000000,94,11.533741950000000,26339.000000000000000,31.212892530000001,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,1312471.019749999977648,7753.193728119999832
"Block Group 3, Census Tract 153, Barnstable County, Massachusetts",250010153003,N,Barnstable,1494.000000000000000,700.000000000000000,53.145916999999997,392.000000000000000,70,17.857143400000002,43750.000000000000000,51.845706939999999,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,856365.984550999943167,4419.587973360000433
"Block Group 1, Census Tract 9001, Berkshire County, Massachusetts",250039001001,N,Pittsfield,982.000000000000000,657.000000000000000,33.095723010000000,474.000000000000000,13,2.742615940000000,28929.000000000000000,34.282157900000001,0,56620.000000000000000,67.097236629999998,I, ,M,Yes,MI,2,Minority and income,267264.913501999981236,2099.624597879999783
"Block Group 2, Census Tract 9001, Berkshire County, Massachusetts",250039001002,N,Pittsfield,842.000000000000000,490.000000000000000,41.805225649999997,509.000000000000000,17,3.339882140000000,28094.000000000000000,33.292648319999998,0,56620.000000000000000,67.097236629999998,I, ,M,Yes,MI,2,Minority and income,224022.555377000011504,2203.137500159999945
"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",250010126023,N,Barnstable,1284.000000000000000,641.000000000000000,50.077881619999999,540.000000000000000,25,4.629629610000000,58631.000000000000000,69.480354309999996,0,77227.000000000000000,91.517448430000002, , ,M,Yes,M,1,Minority,935841.645751000032760,4120.608527819999836
"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",250010126024,N,Barnstable,1139.000000000000000,576.000000000000000,49.429323969999999,339.000000000000000,30,8.849557880000001,52757.000000000000000,62.519405360000000,0,77227.000000000000000,91.517448430000002,I, ,M,Yes,MI,2,Minority and income,836982.195175000000745,4834.096999880000112
"Block Group 1, Census Tract 139, Barnstable County, Massachusetts",250010139001,N,Bourne,596.000000000000000,568.000000000000000,4.697986580000000,361.000000000000000,0,0.000000000000000,42569.000000000000000,50.446170809999998,0,76823.000000000000000,91.038688660000005,I, , ,Yes,I,1,Income,4459037.886880000121891,9925.660791989999780
"Block Group 1, Census Tract 141, Barnstable County, Massachusetts",250010141001,Y,Bourne,797.000000000000000,538.000000000000000,32.496863240000003,306.000000000000000,0,0.000000000000000,53108.000000000000000,62.935356140000003,0,76823.000000000000000,91.038688660000005,I, ,M,Yes,MI,2,Minority and income,44196279.068800002336502,34217.208187999996881
